TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,1841,INE805C01028,KCP,EQ,,,,,KCP LTD,204.15,207,201.77,203,202.88,207.52,,202.99,,,127449,26035567.88,4016,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,4809,INE790B01024,KCPSUGIND,EQ,,,,,KCP SUGAR IND CORP LTD.,32.6,33.25,32.25,32.75,32.47,33.49,,32.76,,,81562,2686110.15,608,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,14908,INE291D01011,KDDL,EQ,,,,,KDDL LIMITED,2650,2729.9,2650,2698.8,2690,2706.6,,2699.3,,,32185,87256064.8,3276,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13260,INE389H01022,KEC,EQ,,,,,KEC INTL. LIMITED,865,885.9,858.2,861.5,860,872.95,,861.5,,,525859,458566783.7,28314,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13310,INE878B01027,KEI,EQ,,,,,KEI INDUSTRIES LTD.,3860,3880.2,3783,3844.2,3840,3901.4,,3844.2,,,351630,1348672189,37339,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13430,INE164B01030,KELLTONTEC,EQ,,,,,KELLTON TECH SOL LTD,28.87,29.19,27.61,28.48,28.6,29.1,,28.48,,,4409027,126150692.6,13593,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,29547,INE15DO01012,KEN,SM,,,,,KEN ENTERPRISES LIMITED,62,62,58.2,59.1,58.5,63.25,,59.1,,,70800,4221060,57,F1,1200,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13125,INE202H01019,KERNEX,BE,,,,,KERNEX MICROSYS(I) LTD,1035.9,1093.2,1020,1093.2,1093.2,1041.2,,1093.2,,,34367,37161629.7,830,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,4981,INE087A01019,KESORAMIND,BE,,,,,KESORAM INDUSTRIES LTD,5.4,5.4,5.4,5.4,5.4,5.52,,5.44,,,158508,855943.2,398,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13381,INE401H01017,KKCL,EQ,,,,,KEWAL KIRAN CLOTHING LTD,550,559.8,536.3,556.05,554.25,558.55,,556.05,,,72854,40020953.45,4764,F1,1,,,,,
